Detail	hyper_turcan	hypo_turcan	hyper_adi	hypo_adi	SharedSets
KCNC1	1	1	1	1	4
SIX3	1	1	1	1	4
NTRK1	1	1	1	0	3
PRKCH	1	1	1	0	3
IGF2R	1	1	1	0	3
SHOX2	1	1	1	0	3
PDE9A	1	1	1	0	3
CBFA2T3	1	1	1	0	3
LMO1	1	1	1	0	3
SH3PXD2A	1	1	1	0	3
GUSB	1	1	1	0	3
TMIE	1	1	1	0	3
TACC1	1	1	1	0	3
TBX1	1	1	1	0	3
KLHL31	1	1	1	0	3
CELSR1	1	1	1	0	3
AGAP1	1	1	1	0	3
IRX4	1	1	1	0	3
BTNL9	1	1	1	0	3
CPEB1	1	1	1	0	3
RGL3	1	1	1	0	3
GALR2	1	1	1	0	3
GJB2	1	1	1	0	3
GRIN1	1	1	1	0	3
ABR	1	1	1	0	3
ZFPM1	1	1	1	0	3
PDGFRA	1	1	1	0	3
KLHL14	1	1	1	0	3
BAIAP2L2	1	1	1	0	3
SHANK3	1	1	1	0	3
C7orf50	1	1	0	1	3
DOK6	1	1	1	0	3
NFATC1	1	1	1	0	3
ESX1	1	1	0	1	3
GATA3	1	1	1	0	3
DNAJC6	1	1	1	0	3
TBC1D24	1	1	1	0	3
DYSF	1	1	1	0	3
ZNF423	1	1	1	0	3
PAX9	1	1	1	0	3
CILP2	1	1	1	0	3
ZIC5	1	1	1	0	3
STXBP1	1	1	0	1	3
GALNT2	1	0	1	1	3
CRLF1	1	1	1	0	3
SHH	1	1	1	0	3
SLC12A5	1	1	1	0	3
KNDC1	1	1	1	0	3
EPHA6	1	1	1	0	3
KCP	1	1	1	0	3
MEGF11	1	1	1	0	3
KCTD1	1	1	1	0	3
SORCS2	1	1	1	0	3
SLC45A1	1	1	1	0	3
KCNIP3	1	1	1	0	3
KCNA2	1	1	1	0	3
CDX2	1	1	1	0	3
FBLN2	1	1	1	0	3
PRKAR1B	1	1	1	0	3
ANGPTL4	1	1	1	0	3
TTBK1	1	1	1	0	3
PANX2	1	1	1	0	3
ZFR2	1	1	1	0	3
DOK7	1	1	1	0	3
DNMT3A	1	1	1	0	3
ESRRG	1	1	1	0	3
FANCF	1	1	1	0	3
ROR2	1	1	1	0	3
MATN2	1	1	1	0	3
PLCH2	1	1	1	0	3
ZDHHC22	1	1	1	0	3
RASGEF1C	1	1	1	0	3
PHYHIPL	1	1	1	0	3
ALPL	1	1	1	0	3
SLC18A2	1	1	1	0	3
GDNF	1	1	1	0	3
KCNG1	1	1	1	0	3
MAPT	1	1	1	0	3
PRPF40B	1	1	1	0	3
RGS11	1	1	1	0	3
TIAM1	1	1	1	0	3
SNX20	1	1	1	0	3
SRCIN1	1	1	1	0	3
PTH1R	1	1	1	0	3
SCRT2	1	1	1	0	3
TWIST1	1	1	1	0	3
CACNA1A	1	1	1	0	3
RBMS1	1	1	1	0	3
GAS2L1	1	1	1	0	3
FNDC1	1	1	1	0	3
TFR2	1	1	1	0	3
RASD2	1	1	1	0	3
NDRG4	1	1	1	0	3
PPP2R2C	1	1	1	0	3
ARID3C	1	1	1	0	3
CMTM7	1	1	1	0	3
PCDH8	1	1	1	0	3
POU4F3	1	1	1	0	3
PLD6	1	1	1	0	3
WNT9A	1	1	1	0	3
SIX1	1	1	1	0	3
EGR3	1	1	1	0	3
XKR4	1	1	1	0	3
CA7	1	1	1	0	3
PCDHGA4	1	1	0	1	3
FAT1	1	1	0	1	3
AGAP2	1	1	1	0	3
S100A11	1	1	1	0	3
PGR	1	1	1	0	3
FHDC1	1	1	1	0	3
ARHGAP22	1	1	1	0	3
AGRN	1	1	1	0	3
EVX2	1	1	1	0	3
MCPH1	1	1	1	0	3
HSPA2	1	1	1	0	3
CACNB2	1	1	0	1	3
PDE4D	1	1	1	0	3
CRIP1	1	1	1	0	3
ATP2A3	1	1	1	0	3
RTN4RL2	1	1	1	0	3
SLC8A2	1	1	1	0	3
NTNG2	1	1	1	0	3
STC2	1	1	1	0	3
BCL11B	1	1	1	0	3
OSBP2	1	1	1	0	3
WTIP	1	1	1	0	3
SALL1	1	1	1	0	3
PCDHA7	1	1	1	0	3
LMX1A	1	1	1	0	3
MIR124-3	1	1	1	0	3
LTB	1	1	1	0	3
AIFM2	1	1	1	0	3
AATK	1	1	1	0	3
GALNT10	1	1	1	0	3
FGFR2	1	1	1	0	3
ALS2CL	1	1	1	0	3
DHH	1	1	1	0	3
CAMK2B	1	1	1	0	3
NKX6-2	1	1	1	0	3
