"","PC1","PC2","group","grp","name","PC1.var","PC2.var"
"IR132H_AP_N5_R3",-17.083127204104,-8.61057672996712,"T","T","IR132H_AP_N5_R3",67,8
"IR132H_AP_N5_R7",-0.815214537508055,8.48458535294506,"T","T","IR132H_AP_N5_R7",67,8
"IR132H_AP_N5_R8",2.85059818005375,-3.7083469405557,"T","T","IR132H_AP_N5_R8",67,8
"IR132H_AP_N5_R11",-2.24909254965092,7.16998348679913,"T","T","IR132H_AP_N5_R11",67,8
"IR132H_AP_N5_R14",-16.604645979871,-4.0802213799025,"T","T","IR132H_AP_N5_R14",67,8
"Adi_6_IR132H_AP_N6_R2",14.5874162049872,5.40205340854528,"T","T","Adi_6_IR132H_AP_N6_R2",67,8
"Adi_7_IR132H_AP_N6_R3",0.0284004690734607,20.0749593975799,"T","T","Adi_7_IR132H_AP_N6_R3",67,8
"Adi_13_IR132H_AP_N6_R1",24.7253682148051,-3.28637140234908,"T","T","Adi_13_IR132H_AP_N6_R1",67,8
"Adi_21_IR132H_AP_N6_R5",36.4137535984242,1.20701158021961,"T","T","Adi_21_IR132H_AP_N6_R5",67,8
"Adi_24_IR132H_AP_N6_R8",-10.4722668072245,-11.5620836378417,"T","T","Adi_24_IR132H_AP_N6_R8",67,8
"Adi_25_IR132H_AP_N6_R4",-2.16292102387571,-1.5515805411976,"T","T","Adi_25_IR132H_AP_N6_R4",67,8
"Adi_26_IR132H_AP_N6_R3",10.2660956925659,6.86172366514919,"T","T","Adi_26_IR132H_AP_N6_R3",67,8
"Adi_27_IR132H_AP_N6_R4",40.4006019593542,1.98473038622439,"T","T","Adi_27_IR132H_AP_N6_R4",67,8
"Adi_11_IR132H_AP_N6_R6",-0.0175410962710898,13.7519965326806,"T","T","Adi_11_IR132H_AP_N6_R6",67,8
"Adi_23_IR132H_AP_N6_R8",-28.781430487122,-10.8314910852751,"T","T","Adi_23_IR132H_AP_N6_R8",67,8
"Adi_4_IR132H_AP_N6_R5",22.8354724893937,-4.24446032301816,"T","T","Adi_4_IR132H_AP_N6_R5",67,8
"Adi_5_IR132H_AP_N6_R12",-31.4118795130378,-18.7757521654775,"T","T","Adi_5_IR132H_AP_N6_R12",67,8
"Adi_8_IR132H_AP_N6_R8",54.5899879463719,-11.6151258421194,"T","T","Adi_8_IR132H_AP_N6_R8",67,8
"Adi_12_IR132H_AP_N6_R4",49.9579140565449,-6.22365659178714,"T","T","Adi_12_IR132H_AP_N6_R4",67,8
"Adi_14_IR132H_AP_N6_R2",6.10887456163525,-12.8367155273622,"T","T","Adi_14_IR132H_AP_N6_R2",67,8
"Adi_20_IR132H_AP_N6_R4",-12.2617656756263,-2.03539710174861,"T","T","Adi_20_IR132H_AP_N6_R4",67,8
"Adi_1_IWT_AP_R2",-29.7365479556659,-11.0761641259268,"C","C","Adi_1_IWT_AP_R2",67,8
"Adi_2_IWT_AP_R1",-31.3997869639837,13.4194194370295,"C","C","Adi_2_IWT_AP_R1",67,8
"Adi_3_IWT_AP_R2",-59.3270507008351,-10.2928552033478,"C","C","Adi_3_IWT_AP_R2",67,8
"Adi_19_IWT_AP_R2",-48.6067144375967,2.99970054678393,"C","C","Adi_19_IWT_AP_R2",67,8
"Adi10_Iwt_AP-4&5",-38.4222357053228,4.79866993616861,"C","C","Adi10_Iwt_AP-4&5",67,8
"Adi13_IR132H_AP-8&9-R11",55.0724391536732,-11.5008420780619,"T","T","Adi13_IR132H_AP-8&9-R11",67,8
"Adi18_IR132H_AP-8&9-401-R1",1.67627561770072,7.97196786436011,"T","T","Adi18_IR132H_AP-8&9-401-R1",67,8
"Adi20_IR132H_AP-14&15-R1",6.4499178057925,16.0031352486787,"T","T","Adi20_IR132H_AP-14&15-R1",67,8
"Adi21_IR132H_AP-14&15-R2",-0.147820105667878,19.5764369802532,"T","T","Adi21_IR132H_AP-14&15-R2",67,8
"Adi22_IR132H_AP-14&15-R3",26.8046008289062,-1.45336554405578,"T","T","Adi22_IR132H_AP-14&15-R3",67,8
"Adi26_Iwt_AP-4&5-R2",-34.2420539867314,11.7017839973599,"C","C","Adi26_Iwt_AP-4&5-R2",67,8
"Adi28_Iwt_AP-4&5-R6",-58.689908166479,-12.4956348809451,"C","C","Adi28_Iwt_AP-4&5-R6",67,8
"IAP10112H",19.9410057843112,16.9251368199547,"T","T","IAP10112H",67,8
"IAP13R3",49.7232803329804,-12.1526535397925,"T","T","IAP13R3",67,8
