Gene_name,ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,IR132H_AP_N5_R3,IR132H_AP_N5_R7,IR132H_AP_N5_R8,IR132H_AP_N5_R11,IR132H_AP_N5_R14,Adi_6_IR132H_AP_N6_R2,Adi_7_IR132H_AP_N6_R3,Adi_13_IR132H_AP_N6_R1,Adi_21_IR132H_AP_N6_R5,Adi_24_IR132H_AP_N6_R8,Adi_25_IR132H_AP_N6_R4,Adi_26_IR132H_AP_N6_R3,Adi_27_IR132H_AP_N6_R4,Adi_11_IR132H_AP_N6_R6,Adi_23_IR132H_AP_N6_R8,Adi_4_IR132H_AP_N6_R5,Adi_5_IR132H_AP_N6_R12,Adi_8_IR132H_AP_N6_R8,Adi_12_IR132H_AP_N6_R4,Adi_14_IR132H_AP_N6_R2,Adi_20_IR132H_AP_N6_R4,Adi_1_IWT_AP_R2,Adi_2_IWT_AP_R1,Adi_3_IWT_AP_R2,Adi_19_IWT_AP_R2,Adi10_Iwt_AP-4&5,Adi13_IR132H_AP-8&9-R11,Adi18_IR132H_AP-8&9-401-R1,Adi20_IR132H_AP-14&15-R1,Adi21_IR132H_AP-14&15-R2,Adi22_IR132H_AP-14&15-R3,Adi26_Iwt_AP-4&5-R2,Adi28_Iwt_AP-4&5-R6,IAP10112H,IAP13R3
Ighv1-80,ENSMUSG00000094075,59.19642223468391,29.689139524394815,1.9932711905556235,1.3129177073275754e-50,1.5800308148833706e-46,0,0,0,0,0,2.679344394878892,0,0,0,2.849758319350537,0,0,0,4.081724110870884,0,179.77798065358843,40.73281033933856,739.1885553050657,664.818320090895,85.69529469381607,179.9745531223882,0,0,0,0,0,46.45110121503448,0,0.9800584878292995,3.949630503999434,9.807760425462716,0,0,0,110.88788655141846
Igkv16-104,ENSMUSG00000076522,28.686958811686214,26.241807678064013,2.1991949080395017,3.65763907660622e-33,1.467261915580585e-29,0,0,0,0,0,1.339672197439446,0,0.8062112628760303,0,0,0,0,0,0,3.0042380503559385,117.45494736034443,51.969447674328514,53.97949211616724,89.74456896431265,67.06588280385604,361.0465120564983,0,0,0,0,0,243.18517694929815,0,2.9401754634878987,0,0,0,0,0,11.507233510052858
Igkv10-96,ENSMUSG00000094420,80.37716750117112,23.978975736168433,1.553606873157243,5.017335361298756e-54,1.2076224481109975e-49,1.5615873147147188,0.498397797623233,0.7126018287241941,1.0269897332197664,0,0,0,6.449690103008242,0,56.99516638701074,1.1418295909272533,0,1.2332831711654162,5.442298814494512,0,792.221634746813,880.6714511298372,37.455157794891555,49.59568284869909,22.355294267952015,903.1649830471066,0,0,0,0,0,103.28538976048843,0,3.920233951317198,7.109334907198981,26.154027801233905,0,0,1.2047111263317998,10.461121372775326
Igkv6-15,ENSMUSG00000094797,74.96765042193094,23.963149411183085,1.8385934447098016,4.1167761266157436e-39,3.302889486383811e-35,5.725820153953969,0,0,2.567474333049416,0,0,0,4.031056314380152,0,4.749597198917562,0,0,0,0,35.04944392081928,437.45975292373186,16.854956002484922,929.7692111437786,891.541441684948,7.451764755984005,40.60401503370953,0,0,0,0,0,55.19483791433509,0,4.900292439146497,11.058965411198416,25.064276642849162,0,0,1.2047111263317998,150.6401477679647
Igkv8-24,ENSMUSG00000076583,65.66585269851551,23.85802461900434,1.972018127437198,5.644413701969914e-34,2.7171078678542774e-30,1.5615873147147188,0,0,0.5134948666098832,0,0,0,0,0,1.8998388795670247,4.567318363709013,0,0,0,0,335.58556388669837,240.18312303541015,102.45087279190926,226.723121594053,424.7505910910883,618.9368778111399,0,0,0,0,0,155.7478099562921,0,0.9800584878292995,3.949630503999434,13.077013900616953,0,0,0,167.3779419644052
Igkv6-23,ENSMUSG00000095630,61.19183732972742,23.678432276325555,1.8201154108789128,5.73309222700473e-39,3.449744920294421e-35,0.5205291049049063,0,0,0,0,1.339672197439446,0,0,0,1.8998388795670247,1.1418295909272533,0,1.2332831711654162,0,1.0014126834519794,260.07881201219124,92.70225801366708,396.5840237106165,145.2444997711902,4.967843170656003,1063.386231558501,0,0,0,0,0,63.39209106992941,0,0.9800584878292995,8.689187108798755,5.44875579192373,0,0,0,93.1039802177004
Ighv1-12,ENSMUSG00000095416,37.85674331317509,22.01928849413772,2.116815675701756,1.3894028924849761e-25,4.1801922774026114e-22,3.643703734334344,0,4.275610972345165,0,0,0,0,0.8062112628760303,0,0,0,0,0,5.442298814494512,3.0042380503559385,170.18982168539705,625.0379517588159,40.760024659146694,73.21267468141295,4.967843170656003,372.0205701737171,0,0,0,0,0,16.39450631118864,0,0,0,0,0,0,0,5.230560686387663
Ighv3-1,ENSMUSG00000093838,9.543000088465643,20.613603128093917,4.094649669029296,1.6596448801137713e-8,2.081604618001999e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.18242104051666,153.09918368923806,0,4.723398366542771,0,520.1703547561708,0,0,0,0,0,15.301539223776064,0,0,0,0,0,0,0,0
Ighg2b,ENSMUSG00000076613,1120.1491226060846,8.6496645904175,1.5242036847660507,2.1150114707841087e-12,1.6008242481227268e-10,27.588042559960034,1.495193392869699,0.7126018287241941,3.594464066269182,0.7505374407470542,17.415738566712797,1.0325644249318486,1.6124225257520606,0,75.99355518268099,82.21173054676224,0,6.166415855827082,59.865286959439636,9.012714151067815,5942.261520536609,5166.044014761629,4474.789734201456,5533.461186404857,274.4733351787442,14428.69161251927,2.002449142957664,2.4593890586632847,4.595815592126933,0,2.063899062295697,1627.974476701032,1.3463974411518742,49.982982879294276,94.00120599518654,116.60337394716784,1.6370174921287528,1.2898671958179793,3.6141333789953993,1190.475612221832
Igkc,ENSMUSG00000076609,2341.1972904036675,6.720128035881319,1.3164790229715186,4.58567443467342e-14,8.175747997641077e-12,257.6619069279286,16.44712732156669,99.76425602138718,49.29550719454878,73.55266919321132,525.1515013962628,24.781546198364367,119.31926690565248,32.672213861474965,331.5218844844458,222.65677023081443,22.080987935183895,19.73253073864666,311.57160712981084,211.29807620836766,10916.11898528589,5843.051414194773,8979.3232701812085,15519.90618286791,4314.571793714739,22132.48041080686,8.009796571830655,1.639592705775523,22.97907796063467,4.403456169279801,31.646452288534025,4097.533610709747,6.731987205759371,1035.9218216355696,608.2430976159129,2480.2736364836824,3.2740349842575056,49.01495344108321,31.322489284626794,3537.9512482726154
Igha,ENSMUSG00000095079,343.58751127777595,5.58177982705094,1.1644758492012703,1.2334833345528558e-14,2.854683690322374e-12,14.574814937337376,1.993591190492932,2.1378054861725824,12.83737166524708,6.754836966723488,37.51082152830449,14.45590194904588,137.05591468892516,11.761996990130987,14.248791596752685,4.567318363709013,34.86471779239562,22.199097080977495,223.134251394275,233.3291552443112,1383.091931161607,633.4654297600583,462.6813609957192,831.3181125115277,419.7827479204323,1593.4332386201686,12.014694857745985,0,1.531938530708978,7.339093615466336,9.63152895737992,2055.324607879349,8.078384646911244,717.4028130910473,489.75418249592985,2295.0159395582755,0.8185087460643764,9.029070370725854,16.865955768645197,307.5569683595946
Jchain,ENSMUSG00000067149,276.7460475389549,5.424353610297777,1.2173614446460892,1.1826940540079439e-13,1.6843942713560474e-11,27.588042559960034,4.98397797623233,13.539434745759689,6.675433265928481,12.759136492699922,79.04065964892732,7.22795097452294,42.7291969324296,7.841331326753991,40.84653591069103,37.680376500599365,4.648629038986083,4.933132684661665,84.35563162466494,54.07628490640689,1266.8355036722864,651.724965429417,1227.207228926741,2062.944236587555,447.1058853590403,2047.7592446730266,5.0061228573941605,3.279185411551046,1.531938530708978,7.339093615466336,3.4398317704928285,429.53606535314236,1.3463974411518742,171.51023537012742,83.732166684788,414.1054401862035,0.8185087460643764,6.449335979089896,6.023555631658999,419.4909670482906
Igkv1-117,ENSMUSG00000094335,24.69616772393375,4.253247825469152,2.077512570686191,1.5522571910235096e-7,1.3502449703919354e-6,1.5615873147147188,0,0,0,0,2.679344394878892,0,8.062112628760303,2.613777108917997,0,0,0,1.2332831711654162,13.60574703623628,7.009888784163856,113.85938774727266,115.17553268364698,22.032445761700917,114.54241038866219,31.049019816600023,219.48116234437586,0,0,0,0,0,87.98385053671237,0,23.52140370790319,9.479113209598642,61.026064869545785,0,0,1.2047111263317998,28.24502770649338
Vax2,ENSMUSG00000034777,43.84154852776705,4.056663169117389,1.089154046255734,1.0371448166357352e-9,2.1263235597619687e-8,72.87407468668688,136.06259875114262,114.72889442459525,87.29412732368014,141.85157630119326,6.69836098719723,86.73541169427529,53.209943349818,96.7097530299659,80.74315238159855,6.850977545563521,56.94570572757952,147.99398053984996,1.360574703623628,4.005650733807918,32.360036517645916,2.809159333747487,94.73951677531394,66.1275771315988,8.693725548648006,8.779246493775034,0,0,0,1.467818723093267,2.063899062295697,10.92967087412576,37.69912835225248,1.960116975658599,3.159704403199547,0,0.8185087460643764,0,106.01457911719838,62.76672823665196
Atp6v0d2,ENSMUSG00000028238,52.65360873543582,4.053261605245181,0.6862608000166834,1.044126390488942e-13,1.5609365274955492e-11,9.369523888288313,42.3638127979748,55.58294264048714,26.18823819710404,27.769885307641008,112.53246458491347,16.521030798909578,140.28075974042926,26.13777108917997,62.69468302571182,12.560125500199788,66.24296380555168,53.0311763601129,106.12482688264299,86.12149077687023,44.34523522788515,7.022898334368718,407.60024659146694,145.2444997711902,32.290980609264025,10.974058117218792,4.004898285915328,0.8197963528877615,0,0,4.81576447868996,33.88197970978985,26.927948823037482,31.361871610537584,4.739556604799321,56.6670602360068,0.8185087460643764,2.5797343916359585,32.52720041095859,152.73237204251976
Igkv4-55,ENSMUSG00000096833,17.23431246882899,3.987382513724093,1.6262396928174976,7.634681704676168e-8,7.394734565386345e-7,11.972169412812844,1.993591190492932,14.964638403208077,2.0539794664395328,3.002149762988217,42.869510318062275,0,0,0,0.9499194397835123,5.709147954636268,0,0,8.163448221741769,6.008476100711877,64.72007303529183,84.27478001242461,28.64217949021119,49.59568284869909,147.7933343270161,24.142927857881343,0,0,0,0,0,40.9862657779716,0,18.621111268756692,7.899261007998868,29.423281276388145,0,0,0,9.415009235497793
Gdf3,ENSMUSG00000030117,11.920224632935499,3.9597873273772133,1.4089145356549868,2.9241237931913308e-8,3.315154761107967e-7,20.82116419619625,5.980773571478796,1.4252036574483882,3.080969199659299,1.5010748814941084,1.339672197439446,0,8.868323891636333,0,3.7996777591340494,3.4254887727817604,0,11.099548540488748,2.721149407247256,4.005650733807918,26.367437162526304,2.809159333747487,23.134068049785963,15.351044691264006,86.93725548648005,20.850710422715707,0,0,0,0,0,116.40099480943934,0,1.960116975658599,3.159704403199547,25.064276642849162,0,0,7.228266757990799,19.87613060827312
