Term,UP,DN
E2F4,4,0
FOXM1,4,0
AR,1,1
CTCF,1,1
BACH1,1,0
CCND1,1,0
CCNE1,1,0
CDKN2AIP,1,0
CHD1,1,0
E2F1,1,0
E2F7,1,0
EGR1,1,0
EP300,1,0
ETS1,1,0
EWSR1-FLI1,1,0
FLI1,1,0
INSM1,1,0
IRF8,1,0
JUN,1,0
JUND,1,0
MYC,1,0
MYCN,1,0
NELFE,1,0
NFYB,1,0
POLE,1,0
POU5F1,1,0
RORA,1,0
RREB1,1,0
SIN3A,1,0
SP2,1,0
STAT1,1,0
TLX1::NFIC,1,0
TP63,1,0
TRP63,1,0
EZH2,0,3
REST,0,3
SUZ12,0,3
BMI1,0,1
CBX5,0,1
DMRT1,0,1
EED,0,1
ESR1,0,1
ESR2,0,1
FOSL1,0,1
GRHL3,0,1
JARID2,0,1
KLF7,0,1
MTF2,0,1
MYOD1,0,1
NEUROD1,0,1
POLR2A,0,1
POU4F1,0,1
PRDM14,0,1
RNF2,0,1
SMAD4,0,1
SP1,0,1
SPATA20,0,1
STAT3,0,1
TCF12,0,1
TCFAP2A,0,1
TEAD2,0,1
TEAD4,0,1
TFAP2A,0,1
ZC3H11A,0,1
ZNF148,0,1
ZNF652,0,1
