"","PC1","PC2","group","grp","name","PC1.var","PC2.var"
"IR132H_AP_N5_R3",-18.5275596246939,6.57992712755794,"T","T","IR132H_AP_N5_R3",33,17
"IR132H_AP_N5_R7",-12.5322274657397,-9.66861370523961,"T","T","IR132H_AP_N5_R7",33,17
"IR132H_AP_N5_R8",-9.80668997945807,-5.37435519088697,"T","T","IR132H_AP_N5_R8",33,17
"IR132H_AP_N5_R11",-14.1086591116234,-5.5237108577269,"T","T","IR132H_AP_N5_R11",33,17
"IR132H_AP_N5_R14",-22.5722384288152,0.41283086969782,"T","T","IR132H_AP_N5_R14",33,17
"Adi_6_IR132H_AP_N6_R2",-0.228080606054184,-6.36539660628242,"C","C","Adi_6_IR132H_AP_N6_R2",33,17
"Adi_7_IR132H_AP_N6_R3",-9.09927928566987,-9.96570335461401,"T","T","Adi_7_IR132H_AP_N6_R3",33,17
"Adi_13_IR132H_AP_N6_R1",3.58618907357376,-9.67454045522594,"C","C","Adi_13_IR132H_AP_N6_R1",33,17
"Adi_21_IR132H_AP_N6_R5",12.0763649456016,-17.2235079621911,"C","C","Adi_21_IR132H_AP_N6_R5",33,17
"Adi_24_IR132H_AP_N6_R8",-12.6743009632437,5.73010842834503,"T","T","Adi_24_IR132H_AP_N6_R8",33,17
"Adi_25_IR132H_AP_N6_R4",-8.45571177790819,-3.67819437146367,"T","T","Adi_25_IR132H_AP_N6_R4",33,17
"Adi_26_IR132H_AP_N6_R3",-4.33669079436294,-12.052062152024,"T","T","Adi_26_IR132H_AP_N6_R3",33,17
"Adi_27_IR132H_AP_N6_R4",11.9110598197384,-17.593914865513,"C","C","Adi_27_IR132H_AP_N6_R4",33,17
"Adi_11_IR132H_AP_N6_R6",-7.7838982388592,-3.89892428787287,"T","T","Adi_11_IR132H_AP_N6_R6",33,17
"Adi_23_IR132H_AP_N6_R8",-21.9165634075188,8.61735100393187,"T","T","Adi_23_IR132H_AP_N6_R8",33,17
"Adi_4_IR132H_AP_N6_R5",16.1880461190395,17.7462074775248,"C","C","Adi_4_IR132H_AP_N6_R5",33,17
"Adi_5_IR132H_AP_N6_R12",-18.4049805137651,30.2636249765107,"T","T","Adi_5_IR132H_AP_N6_R12",33,17
"Adi_8_IR132H_AP_N6_R8",37.011844391912,5.57963705474053,"C","C","Adi_8_IR132H_AP_N6_R8",33,17
"Adi_12_IR132H_AP_N6_R4",37.8683069099473,11.6578601235721,"C","C","Adi_12_IR132H_AP_N6_R4",33,17
"Adi_14_IR132H_AP_N6_R2",1.12700469025037,10.1383517942672,"T","T","Adi_14_IR132H_AP_N6_R2",33,17
"Adi_20_IR132H_AP_N6_R4",-6.37141023508547,31.9711969285777,"T","T","Adi_20_IR132H_AP_N6_R4",33,17
"Adi13_IR132H_AP-8&9-R11",28.6450066492974,3.75365672822248,"C","C","Adi13_IR132H_AP-8&9-R11",33,17
"Adi18_IR132H_AP-8&9-401-R1",-9.26649086171495,-6.84682803865546,"T","T","Adi18_IR132H_AP-8&9-401-R1",33,17
"Adi20_IR132H_AP-14&15-R1",-4.06840509277948,-4.55501941775571,"T","T","Adi20_IR132H_AP-14&15-R1",33,17
"Adi21_IR132H_AP-14&15-R2",-7.28075109406841,-3.35048207760505,"T","T","Adi21_IR132H_AP-14&15-R2",33,17
"Adi22_IR132H_AP-14&15-R3",8.59601614499329,-3.91804018490966,"C","C","Adi22_IR132H_AP-14&15-R3",33,17
"IAP10112H",0.738182454902625,-13.8166184345306,"C","C","IAP10112H",33,17
"IAP13R3",29.6859162821043,1.05515944954862,"C","C","IAP13R3",33,17
