Variable	Term	Beta	StandardError	Z	P	LRT	Wald	LogRank	HR	HRlower	HRupper	mm	status
ABLIM3	ABLIM3	-0.54596413245568	0.205979386178087	-2.65057655810104	0.00803545137345378	0.00746555343902321	0.00803545137345378	0.00697497014439031	0.579283008467148	0.386866227562162	0.867402683385772	Ablim3	up
ADAMTS3	ADAMTS3	4.11774963157112	1.56017156946023	2.63929282661889	0.00830791849903071	0.00166256871325111	0.00830791849903071	2.0308140961932e-08	61.4208670451394	2.88599447439482	1307.1829977664	Adamts3	up
AHCYL2	AHCYL2	-0.697458897506452	0.262286777748964	-2.6591462348666	0.00783389523779685	0.00665981737353337	0.00783389523779685	0.00681771656894913	0.497848782579805	0.297740929253273	0.832446553242795	Ahcyl2	up
BARX2	BARX2	5.50037445243029	1.81500002949886	3.03050929092767	0.00244141675519134	0.0047072851760102	0.00244141675519134	0.00160448868889633	244.783574909764	6.97993610466825	8584.46232846314	Barx2	up
BMP3	BMP3	1.64026204589448	0.564245513557358	2.90700059900031	0.00364912498969228	0.0122846969204983	0.00364912498969228	0.00227466937091761	5.15652058025388	1.70635780587188	15.5827250316914	Bmp3	up
BVES	BVES	0.73646501537794	0.187662795795342	3.9244060723741	8.69439731974795e-05	0.000591067092855252	8.69439731974795e-05	0.000112490193224966	2.08853949479155	1.44578538707963	3.01704337330108	Bves	up
CARTPT	CARTPT	0.239639546784892	0.0796152346290909	3.00997099237749	0.00261272641183775	0.00899899203604708	0.00261272641183775	0.00154970408875507	1.27079100705254	1.08719018310274	1.48539768727196	Cartpt	up
CCDC160	CCDC160	-0.714191433272983	0.25665193584123	-2.78272373411902	0.00539046846775776	0.00441978540557343	0.00539046846775776	0.00415389795879	0.489587816216204	0.296052053386259	0.809642179629203	Ccdc160	up
CEP135	CEP135	1.28444205735534	0.428327592543903	2.99873760111236	0.00271100679652249	0.00632250333104261	0.00271100679652249	0.00274166050960069	3.61265174233625	1.56038939514284	8.36409978946979	Cep135	down
CHIC2	CHIC2	1.57996028644805	0.37344227833048	4.23080186183379	2.32859721695477e-05	8.80727731362582e-05	2.32859721695477e-05	5.15263224811403e-06	4.85476300752608	2.33503497738248	10.0935206913533	Chic2	down
CHRM3	CHRM3	0.976474605477533	0.388807302607086	2.51146158760377	0.0120232370106279	0.0235777964310804	0.0120232370106279	0.00989578467383628	2.65507952052138	1.23915078654698	5.68893417720054	Chrm3	up
CHST15	CHST15	-0.840397661259379	0.237532292714503	-3.53803540417757	0.000403116002974837	0.000615595348640979	0.000403116002974837	0.000418424064723287	0.431538883008281	0.270914393230558	0.687397245038767	Chst15	up
CRYBB1	CRYBB1	-1.01412407722558	0.342297966422656	-2.96269384193006	0.00304959725670195	0.00303057851134736	0.00304959725670195	0.00298512485038185	0.362720005439833	0.185441508745125	0.709473317147668	Crybb1	up
EEF1A2	EEF1A2	0.355786051671151	0.133589541832482	2.66327772960924	0.00773835161662048	0.00897971719309413	0.00773835161662048	0.00697617889383333	1.42730214668589	1.09851070836833	1.85450301250142	Eef1a2	up
EFCAB6	EFCAB6	-7.26112949303385	2.58104628654394	-2.8132503980611	0.00490434445346048	0.00175243548992806	0.00490434445346048	0.00376026106338593	0.000702314328306037	4.46211692763125e-06	0.110540674694019	Efcab6	up
EFEMP1	EFEMP1	-0.663370280867316	0.193474139830273	-3.4287284153286	0.00060641601441845	0.00054231260617337	0.00060641601441845	0.000512806077786451	0.515112332436573	0.352546543596497	0.752640239559231	Efemp1	up
EMID1	EMID1	-0.836244515438911	0.285157384607888	-2.93257183778988	0.0033616714084419	0.00366294061902866	0.0033616714084419	0.00329414968679287	0.433334853799407	0.247797668359441	0.757792019434873	Emid1	up
