Variable	Term	Beta	StandardError	Z	P	LRT	Wald	LogRank	HR	HRlower	HRupper	mm	status
BVES	BVES	0.73646501537794	0.187662795795342	3.9244060723741	8.69439731974795e-05	0.000591067092855252	8.69439731974795e-05	0.000112490193224966	2.08853949479155	1.44578538707963	3.01704337330108	Bves	up
EEF1A2	EEF1A2	0.355786051671151	0.133589541832482	2.66327772960924	0.00773835161662048	0.00897971719309413	0.00773835161662048	0.00697617889383333	1.42730214668589	1.09851070836833	1.85450301250142	Eef1a2	up
EFCAB6	EFCAB6	-7.26112949303385	2.58104628654394	-2.8132503980611	0.00490434445346048	0.00175243548992806	0.00490434445346048	0.00376026106338593	0.000702314328306037	4.46211692763125e-06	0.110540674694019	Efcab6	up
KCNF1	KCNF1	0.577778260460788	0.194527277837618	2.97016576226954	0.00297639097561946	0.00171174255886707	0.00297639097561946	0.00294189265546621	1.7820747233431	1.21714968545823	2.60920276077858	Kcnf1	up
KCNIP4	KCNIP4	1.88984996594802	0.742651851572832	2.54473204630889	0.010936162237199	0.0193763192307885	0.010936162237199	0.00887276304261401	6.61837562483631	1.54384967145202	28.372513672416	Kcnip4	up
KCTD8	KCTD8	2.3766226100053	0.767863469121125	3.09511092216109	0.00196739306045973	0.00763852526965674	0.00196739306045973	0.00148877843637386	10.7684720482708	2.39082349574057	48.5021125402947	Kctd8	up
MAP3K21	MAP3K21	1.69808890159346	0.612811228097807	2.77098203122746	0.00558875108340239	0.0122030017488987	0.00558875108340239	0.00400076843148342	5.46349612946562	1.64378410529971	18.1591912590269	Map3k21	up
NECAB1	NECAB1	0.489391123528099	0.177105379370051	2.7632764474395	0.00572242769213243	0.00881095157568256	0.00572242769213242	0.00471204970605273	1.6313226435277	1.15288899128453	2.3082999208112	Necab1	up
NPY5R	NPY5R	0.669428989648929	0.264071629473866	2.53502805652653	0.0112438320263769	0.0169141081693619	0.0112438320263769	0.00939660150585234	1.95312174942907	1.16399506142864	3.27723432383887	Npy5r	up
NTSR1	NTSR1	1.65877508206351	0.631289072572575	2.62759986531021	0.00859895973800153	0.0182213666236295	0.00859895973800152	0.00672652746066729	5.25287256424742	1.52420236820883	18.1030227689837	Ntsr1	up
NXPH2	NXPH2	2.81739113686023	1.00463853651858	2.80438290434635	0.00504129956336937	0.0121399505859087	0.00504129956336938	0.00349333226198755	16.7331392082257	2.33575642124685	119.874634707156	Nxph2	up
OPRD1	OPRD1	0.732151946679738	0.259071568499509	2.82606057824182	0.00471243510925348	0.00708895258563907	0.00471243510925347	0.00385983977261018	2.0795508786653	1.2515477720593	3.45534701391543	Oprd1	up
PCDHGA3	PCDHGA3	0.816636015724436	0.285540453498719	2.85996609488504	0.00423686302924815	0.019494850218634	0.00423686302924815	0.00143174961137883	2.26287474431882	1.29302833116614	3.96016234528898	Pcdhga3	up
RAD21L1	RAD21L1	41.8973164279022	13.0015786343822	3.22247917780586	0.00127086402391585	0.0033805092308153	0.00127086402391584	0.00102565777055617	1569543407805832960	13452702.3540528	1.83120568949821e+29	Rad21l	up
RAP1GAP2	RAP1GAP2	0.517975151009684	0.204039560302578	2.53860158413182	0.0111296486940705	0.0190989282737217	0.0111296486940705	0.00914632594765452	1.67862524355253	1.12531721116911	2.50398970203641	Rap1gap2	up
SFTPC	SFTPC	0.666314048855602	0.236255278504968	2.82031391244276	0.00479766909363837	0.00498779142069031	0.00479766909363837	0.00407778283402666	1.94704735641631	1.22539373885794	3.09369412288735	Sftpc	up
TMCO5A	TMCO5A	135.519438168877	48.8872824496135	2.77207959572211	0.00556994150243441	0.0360042182585538	0.00556994150243441	0.000206085438320297	7.1671119365903e+58	174748687557814624	2.93950668411289e+100	Tmco5	up
