cpgIsland	IwtAP2R4a	IwtAP6c	IWTAPB	IAP89	IAP89B	IAPA	log2FoldChange	pvalue	padj	DynamicallyDetected
chr7_17022406_17022646	0	0	0	29.94387965	38.1639078	32.82276865	7.050318031	7.50E-07	0.004495658	
chr2_28393740_28394189	0	0	0	22.1806516	45.01383997	23.22842089	6.893759341	4.65E-06	0.005577324	
chr4_136755556_136755848	0	0	0	27.72581449	23.97476259	28.27807761	6.711744061	3.84E-06	0.005577324	Yes
chr4_139965565_139965837	0	0	0	43.25227061	20.54979651	25.75324925	6.86869946	4.48E-06	0.005577324	Yes
chr17_87640236_87640518	0	1.149023772	0	45.47033577	36.20678433	46.45684178	6.429494701	2.68E-06	0.005577324	Yes
chr18_25678896_25679516	0	0	0	23.28968417	23.48548173	24.74331791	6.551783139	8.06E-06	0.006895566	Yes
chr18_43477589_43477838	0	0	0	27.72581449	22.01763912	24.23835223	6.597543292	6.91E-06	0.006895566	Yes
chr8_69888981_69889537	0	0	0	27.72581449	22.99620086	18.68372985	6.504023651	1.26E-05	0.008380556	Yes
chr16_18398096_18398312	0	0	0	14.41742354	27.39972868	45.44691044	6.844785456	1.18E-05	0.008380556	
chr3_137918408_137918684	15.1165383	17.23535658	12.30655562	0	0	0	-6.962219935	1.48E-05	0.00884257	
chr4_128767041_128767520	0	1.149023772	0	26.61678191	33.76037998	32.82276865	5.974723198	1.89E-05	0.010281993	Yes
chr3_55780206_55780681	0	1.149023772	0	25.50774933	33.27109911	30.80290596	5.917721687	2.42E-05	0.011900032	Yes
chr4_120731011_120731409	0	0	0	23.28968417	18.59267303	19.18869552	6.320271132	2.58E-05	0.011900032	Yes
chr8_87662427_87663031	1.679615367	2.298047544	2.734790138	73.19615026	25.93188607	27.26814626	4.208081851	3.54E-05	0.01238105	Yes
chr9_64638272_64638497	0	0	1.367395069	28.83484707	31.8032565	23.22842089	5.818655976	3.72E-05	0.01238105	Yes
chr10_42635778_42636254	3.359230734	1.149023772	0	42.14323803	38.65318867	24.74331791	4.645829937	3.54E-05	0.01238105	Yes
chr10_84758991_84759369	0	1.149023772	1.367395069	24.39871675	35.22822259	38.88235671	5.198453074	3.38E-05	0.01238105	Yes
chr18_37089892_37090399	0	0	1.367395069	29.94387965	29.35685216	24.74331791	5.820749943	3.39E-05	0.01238105	Yes
chr6_30459849_30460176	0	0	0	11.0903258	26.42116694	29.79297462	6.471613648	4.26E-05	0.013448499	Yes
chr4_155739722_155740068	0	0	0	26.61678191	17.12483042	14.64400447	6.251180232	5.27E-05	0.015276303	
chr6_103512200_103512436	0	0	0	23.28968417	22.99620086	12.62414179	6.267974307	5.35E-05	0.015276303	
chr17_46591648_46591898	0	1.149023772	0	33.27097739	29.35685216	18.68372985	5.769898645	5.97E-05	0.016269374	
chr11_69834023_69834340	0	1.149023772	0	35.48904255	22.01763912	21.71352388	5.729496194	6.72E-05	0.017510932	Yes
chr9_79719513_79719819	0	0	0	27.72581449	9.785617386	25.75324925	6.369218584	7.20E-05	0.017977699	Yes
chr3_55782800_55783379	5.038846101	0	1.367395069	47.68840093	29.35685216	35.34759701	4.263550387	8.44E-05	0.018720128	Yes
